run_id,run_family,S,eta,T,rho,iteration,assignment,all_tied_optima,tie_count,objective_value,weights,regrets,clipped_regrets,pre_mixing_weights,next_weights,weight_entropy,effective_environments,effective_fraction
B4-focused-s3-eta0p25-t3-rho0,B4-focused,3,0.25,3,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.2464987864024587,"[0.3182572882876324,0.31212920080420586,0.3696135109081617]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]",,,1.0956704952874212,2.9911875883603747,0.9970625294534582
B4-focused-s3-eta0p25-t5-rho0,B4-focused,3,0.25,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.32594598257079654,0.32279266221485625,0.35126135521434726]","[0.32594598257079654,0.32279266221485625,0.35126135521434726]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0p25-t5-rho0,B4-focused,3,0.25,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24581361964011883,"[0.32594598257079654,0.32279266221485625,0.35126135521434726]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3182572882876324,0.31212920080420586,0.3696135109081617]","[0.3182572882876324,0.31212920080420586,0.3696135109081617]",1.097887671420332,2.997826935671698,0.9992756452238992
B4-focused-s3-eta0p25-t5-rho0,B4-focused,3,0.25,5,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.2464987864024587,"[0.3182572882876324,0.31212920080420586,0.3696135109081617]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3102868677001776,0.30136822400101776,0.38834490829880475]","[0.3102868677001776,0.30136822400101776,0.38834490829880475]",1.0956704952874212,2.9911875883603747,0.9970625294534582
B4-focused-s3-eta0p25-t5-rho0,B4-focused,3,0.25,5,0.0,3,"[1,0,2,2]","[[1,0,2,2]]",1,0.2471943934728666,"[0.3102868677001776,0.30136822400101776,0.38834490829880475]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3020569668020354,0.29053666135818085,0.4074063718397837]","[0.3020569668020354,0.29053666135818085,0.4074063718397837]",1.0919039617270616,2.9799423709622905,0.9933141236540969
B4-focused-s3-eta0p25-t5-rho0,B4-focused,3,0.25,5,0.0,4,"[1,0,2,2]","[[1,0,2,2]]",1,0.24789865466820132,"[0.3020569668020354,0.29053666135818085,0.4074063718397837]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]",,,1.086543257931656,2.9640105236942076,0.9880035078980692
B4-focused-s3-eta0p5-t3-rho0,B4-focused,3,0.5,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3182572882876324,0.31212920080420586,0.3696135109081618]","[0.3182572882876324,0.31212920080420586,0.3696135109081618]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0p5-t3-rho0,B4-focused,3,0.5,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24649878640245873,"[0.3182572882876324,0.31212920080420586,0.3696135109081618]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3020569668020354,0.29053666135818085,0.40740637183978384]","[0.3020569668020354,0.29053666135818085,0.40740637183978384]",1.0956704952874212,2.9911875883603747,0.9970625294534582
B4-focused-s3-eta0p5-t3-rho0,B4-focused,3,0.5,3,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.24789865466820138,"[0.3020569668020354,0.29053666135818085,0.40740637183978384]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]",,,1.0865432579316558,2.964010523694207,0.988003507898069
B4-focused-s3-eta0p5-t5-rho0,B4-focused,3,0.5,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3182572882876324,0.31212920080420586,0.3696135109081618]","[0.3182572882876324,0.31212920080420586,0.3696135109081618]",1.0986122886681096,2.9999999999999996,0.9999999999999999
