routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",000101011001,"[""100110101000""]",4,0.0009765625,False,False,,,3.691965212852225,0.17564316648131587,{},{}
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",000101011100,"[""001110101000""]",4,0.0009765625,False,False,,,3.7307051873484776,0.17761085362245138,{},{}
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]",000111010001,"[""100010111000""]",4,0.0009765625,False,False,,,5.676568917513666,0.27644548348567993,{},{}
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",001000010100,"[""001010000100""]",4,0.0009765625,False,False,,,0.9301510213444613,0.03536464690301573,{},{}
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",001000100100,"[""001001000100""]",4,0.0009765625,False,False,,,0.9656741226356804,0.03716894209249109,{},{}
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",001001000101,"[""101000100100""]",4,0.0009765625,False,False,,,2.449810344499999,0.11255143259305557,{},{}
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",001001001101,"[""101100100100""]",4,0.0009765625,False,False,,,1.839926935296158,0.08157413440205201,{},{}
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",001001010010,"[""010010100100""]",4,0.0009765625,True,True,"[2, 2, 1, 1]",0.39759079875535563,0.39759079875535586,0.00831476069386968,"{""degradation"": 0.29729729729729737, ""nominal"": 0.4447258687258688, ""surge"": 0.450749230242901}","{""degradation"": 0.46960164737626947, ""nominal"": 0.4711931353854535, ""surge"": 0.4947358344103071}"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",001001010100,"[""001010100100""]",4,0.0009765625,True,True,"[2, 2, 1, 0]",0.31744626309674406,0.31744626309674434,0.00424404628844379,"{""degradation"": 0.2746301728980714, ""nominal"": 0.3103629343629345, ""surge"": 0.3673456820292263}","{""degradation"": 0.3664560107931553, ""nominal"": 0.1749523290656499, ""surge"": 0.31716311525390567}"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",001001100000,"[""000001100100""]",4,0.0009765625,False,False,,,1.0359040739514622,0.040736073303173866,{},{}
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",001001100001,"[""100001100100""]",4,0.0009765625,True,True,"[2, 2, 0, 2]",0.42872045061862935,0.4287204506186296,0.009895903079116069,"{""degradation"": 0.3291320766493977, ""nominal"": 0.4650347490347491, ""surge"": 0.49199452617174133}","{""degradation"": 0.6144642476745011, ""nominal"": 0.515969763007355, ""surge"": 0.5825503160164242}"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",001001100100,"[""001001100100""]",4,0.0009765625,True,False,"[2, 2, 0, 0]",0.3529693643879629,0.352969364387963,0.00604834147791912,"{""degradation"": 0.33856812933025404, ""nominal"": 0.3474285714285714, ""surge"": 0.37291139240506327}","{""degradation"": 0.6574025420720016, ""nominal"": 0.2566739308090437, ""surge"": 0.3290129507422276}"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1]",001001100101,"[""101001100100""]",4,0.0009765625,False,False,,,1.7636206620612738,0.0776983736514408,{},{}
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",001001101000,"[""000101100100""]",4,0.0009765625,False,False,,,2.4438555857537647,0.11224897750974976,{},{}
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",001010000010,"[""010000010100""]",4,0.0009765625,False,False,,,1.0701396506446352,0.042474972332006,{},{}
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",001010010000,"[""000010010100""]",4,0.0009765625,False,False,,,1.0701396506446352,0.042474972332006,{},{}
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",001010010010,"[""010010010100""]",4,0.0009765625,True,False,"[2, 1, 1, 1]",0.45655135271333713,0.45655135271333724,0.011309494824852894,"{""degradation"": 0.25637132513575933, ""nominal"": 0.5686949806949808, ""surge"": 0.5445877523092713}","{""degradation"": 0.2833700205922034, ""nominal"": 0.744517842549714, ""surge"": 0.6945254342754515}"
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",001010011100,"[""001110010100""]",4,0.0009765625,False,False,,,1.5992359270094534,0.06934891721615778,{},{}
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",001100000100,"[""001000001100""]",4,0.0009765625,False,False,,,1.0450040829849643,0.041198282455148685,{},{}
